detalhe_incidente;tipo_incidente;detalhe_limpo
etiqueta pci rede formato skd não ser possível imprimir etiqueta homologação dado sistema impressão;Corretiva;etiqueta pci rede formato skd possível imprimir etiqueta homologação impressão
solicitar acesso usuario ismaelss acesso sistema portaria;Avaliação_Técnica;solicitar usuario ismaelss portaria
ajustir processo aprovação rc po centro custo engenharer cajamar contar razão grupo compra eqa engenharia manau atualmente despesa orçar centro custo engenharia cajamar precisar disponibilidade grupo compra eqa nota simulação realizar area teste t eduardo romero tratativo ver teams usuário tiagoc ajustir transação sistema sap;Melhorias;ajustir processo aprovação centro custo engenharer cajamar contar razão grupo compra eqa engenharia manau atualmente despesa orçar centro custo engenharia cajamar precisar disponibilidade grupo compra eqa nota simulação realizar area teste ver teams tiagoc ajustir transação
computador atual demonstrar problema utilização liga desligar pois antigo lento solicitação computador;Melhorias;computador atual demonstrar utilização liga desligar pois antigo lento computador
bom dia favor verificar pc erro stopcode desligar frequentemente entrar conforme imagem anexo computador desligar;Corretiva;erro stopcode desligar frequentemente entrar conforme imagem anexo computador desligar
preciso acesso cadastro capacidade aceessoa cadastro capacidade;Melhorias;preciso cadastro capacidade aceessoa cadastro capacidade
instalação sistema samippa computador virtual mãozinhar instalação sistema;Nova instalação;instalação samippa computador virtual mãozinhar instalação
retirar contagem índice defeito referente caixa embalagem Evap alteração sisap;Corretiva;retirar contagem índice defeito referente caixa embalagem evap alteração
programa samipp não conseguir acessar dar erro samippp não abrir;Corretiva;programa samipp conseguir acessar dar erro samippp abrir
necessito ter acesso pasta endereço indústria investimento acesso pasta;Corretiva;necessito ter pasta endereço indústria investimento pasta
mudança formato doc ppp novo formato samippp mudança formato doc ppp;Melhorias;mudança formato doc ppp novo formato samippp mudança formato doc ppp
idw off line linha idw off line;Corretiva;idw off line idw off line
idw off line não conseguir acompanhar desempenho maquina idw off line;Corretiva;idw off line conseguir acompanhar desempenho maquina idw off line
smd iac idw off line impossibilitar acompanhar desempenho maquina idw off line;Corretiva;smd iac idw off line impossibilitar acompanhar desempenho maquina idw off line
idw off linar impossibilitar acompanhar eficiência linha idw off line;Corretiva;idw off linar impossibilitar acompanhar eficiência idw off line
registro solicitação realizar presencialmente desbloqueio etiqueta conforme anexo abaixo desbloqueio etiqueta ne;Erro;registro realizar presencialmente desbloqueio etiqueta conforme anexo abaixo desbloqueio etiqueta
ne novo etiqueta rede não visível realizar impressão ne novo etiqueta rede não visível realizar impressão;Melhorias;novo etiqueta rede visível realizar impressão novo etiqueta rede visível realizar impressão
solicitar ajustir prox letra atual v range impressão etq estourar range milhão;Corretiva;solicitar ajustir prox letra atual range impressão etq estourar range milhão
registro solicitação realizar via whatsapp teams solicitação erro imprimir etiqueta rede ne aparecer etiqueta impresse ne problema impressao;Erro;registro realizar via whatsapp teams erro imprimir etiqueta rede aparecer etiqueta impresse impressao
descrever solicitação solicitar reabrir po linha fazer flag campo n avalar flag po;Melhorias;descrever solicitar reabrir fazer flag campo avalar flag
Background azul fixar mudar cor amarelo colocar aviso ordem divergência Folha cabeçalho marca diagonal item somente azul pertencer divergência melhoria tela ordem alimentação;Melhorias;background azul fixar mudar cor amarelo colocar aviso ordem divergência folha cabeçalho marca diagonal item somente azul pertencer divergência melhoria tela ordem alimentação
criação rotina sistema sisap verificação divergência ordem alimentação comparação programa sistema sipap plataforma flexa siplace pro inclusão comparacao programa sipap;Melhorias;criação rotina verificação divergência ordem alimentação comparação programa sipap plataforma flexa siplace pro inclusão comparacao programa sipap
criação perfil igual funcionário fabio ferreiro eng acesso sistema Metro legar;Melhorias;criação perfil igual funcionário metro legar
plano edp inoperante atividade programação alteração ordem alimentação parar prioridade alto atividade paralisado plano edp;Erro;inoperante atividade programação alteração ordem alimentação parar prioridade alto atividade paralisado
arquivo extraír maquina formatação sipap geração ordem alimentação comparação programa maquina ordem produção op alteração arquivo programa original maquina smt fuji asm cm sipap;Melhorias;arquivo extraír maquina formatação sipap geração ordem alimentação comparação programa maquina ordem produção alteração arquivo programa original maquina smt fuji asm sipap
inclusão comparação programa ne posição mecânico sistema ordem alimentação sistema sap comparar ne não efetivo comparação programa sipap;Melhorias;inclusão comparação programa posição mecânico ordem alimentação comparar efetivo comparação programa sipap
preciso funcionário vitor nunes Robert drt uso sistema sipap sisap perfil funcionário abaixo silvio Silva santo drt isaia correo Souza drt alteracao perfil prod perfil eng;Nova instalação;preciso funcionário uso sipap perfil funcionário abaixo santo drt isaia correo souza drt alteracao perfil prod perfil eng
corrigir sistema idw usuário isaia correo Wander balieiro instalacao idw;Corretiva;corrigir idw isaia correo balieiro instalacao idw
modulo ordem alimentação opção lista detalhamento preciso alteração campo código ciclo padrão código aumentar quantidade caracter aceitar caracter ciclo padrão aceitar numero decimal imagem melhoria modulo ordem alimentação opção lista detalhamento;Melhorias;modulo ordem alimentação opção lista detalhamento preciso alteração campo código ciclo padrão código aumentar quantidade caracter aceitar caracter ciclo padrão aceitar numero decimal imagem melhoria modulo ordem alimentação opção lista detalhamento
modulo ordem alimentação opção ordem alimentação preciso clicar opção exportar arquivo gerar atualmente salva exporto download preciso disponibilizar opção exportar determinado caminho exemplo tv folha auditoria auditoria programa ver abrir janela onde usuário poder informar local salvo arquivo imagem preciso disponibilizar opção exportar local determinar;Melhorias;modulo ordem alimentação opção ordem alimentação preciso clicar opção exportar arquivo gerar atualmente salva exporto download preciso disponibilizar opção exportar determinado caminho exemplo folha auditoria auditoria programa ver abrir janela onde poder informar local salvo arquivo imagem preciso disponibilizar opção exportar local determinar
implementação chamado necessário ajustir relatório ordem produção indicar disponível imagem ajustir relatório ordem produção código ciclo;Melhorias;implementação chamado necessário ajustir relatório ordem produção indicar disponível imagem ajustir relatório ordem produção código ciclo
analisar arquivo carga maquina pci princ orde alim cm responsável criar novo versão ordem alimentação importar arquivo aparecer tela erro não deixar prosseguir próximo etapa manutenção ordem alimentação imagem analise debug importação arquivo ordem alimentação;Erro;arquivo carga maquina pci princ orde alim responsável criar novo versão ordem alimentação importar arquivo aparecer tela erro deixar prosseguir próximo etapa manutenção ordem alimentação imagem analise debug importação arquivo ordem alimentação
check imc auditor componente imc basear ordem produção versão layout posto linha adaptação solução atual iac ordem alimentação gerar engenharia iniciar abastecimento componente posto trabalho linha check imc auditor componente imc;Corretiva;check imc auditor componente imc basear ordem produção versão layout adaptação solução atual iac ordem alimentação gerar engenharia iniciar abastecimento componente trabalho check imc auditor componente imc
desenvolvimento funcionalidade vinculação amarração leitura etiqueta caixa painel vinculação etiqueta ud endereçamento estoque confirmação pagamento linha mf novo funcionalidade confirmação ud fase mf;Melhorias;desenvolvimento funcionalidade vinculação amarração leitura etiqueta caixa painel vinculação etiqueta endereçamento estoque confirmação pagamento novo funcionalidade confirmação fase
conforme informar ticket anterior referente projeto abrir ticket registrar processo homologação melhoria sistema após efetivo validação uso produção estarer realizar reunião alinhamento área envolver produção engenharia pcp dti definirmo próximo etapa obrigado homologação check imc auditor componente imc;Melhorias;conforme informar ticket anterior referente projeto abrir ticket registrar processo homologação melhoria após efetivo validação uso produção estarer realizar reunião alinhamento área envolver produção engenharia definirmo próximo etapa homologação check imc auditor componente imc
conforme conversar silvio presencialmente durante visita produção chamado anterior homologação concluir realizar registro hora atividade mês agosto chamado abrir registro melhoria solicitar parte produção sistema atualmente apenas demanda específico relacionar disponibilidade painel ainda sendoanalisado internamente dti melhoria check imc auditor componente Imc;Melhorias;conforme conversar presencialmente durante visita produção chamado anterior homologação concluir realizar registro hora atividade mês agosto chamado abrir registro melhoria solicitar parte produção atualmente apenas demanda específico relacionar disponibilidade painel ainda sendoanalisado internamente dti melhoria check imc auditor componente imc
ajuste correção módulo ordem alimentação sipap ajustir data ultimo alteração data corrente alteração ajustir campo Código nomdocldc não acumular prefixo ajustir poder mover componente etapa feeder diferente sipap ajuste ordem alimentação;Corretiva;ajuste correção módulo ordem alimentação sipap ajustir data ultimo alteração data corrente alteração ajustir campo código nomdocldc acumular prefixo ajustir poder mover componente etapa feeder diferente sipap ajuste ordem alimentação
bom dia chamado abrir registro correção melhoria solicitar parte produção sistema auditor componente imc atividade relacionar sistema mês outubro registrar em este ticket qualquer dúvida entr contato obrigado melhoria check imc auditor componente Imc;Melhorias;chamado abrir registro correção melhoria solicitar parte produção auditor componente imc atividade relacionar mês outubro registrar ticket qualquer dúvida entr contato melhoria check imc auditor componente imc
incluir cadastro referente linha iac criação linha iac emb duplo;Nova instalação;incluir cadastro referente iac criação iac emb duplo
acrescentar ordem alimentação campo tela cadastrar quantidade ponto ordem alimentação cadastro ponto;Melhorias;acrescentar ordem alimentação campo tela cadastrar quantidade ponto ordem alimentação cadastro ponto
implementar lógico importar arquivo máquina nxtr linha submódulo mapa alimentação sipap molde importação ja existente nxt cm siplace dado dever importar partir planilha formato excel dever seguir padrão dado exportar máquina sipap importação arquivo nxtr mapa alimentação;Melhorias;implementar lógico importar arquivo máquina nxtr submódulo mapa alimentação sipap molde importação existente nxt siplace dever importar partir planilha formato excel dever seguir padrão exportar máquina sipap importação arquivo nxtr mapa alimentação
login posto linha montagem login posto produção;Corretiva;login montagem login produção
log liberação quarentena pm gmt sistema topdesk departamento outro informe departamento dcq urgência solicitação alto descrição processo atual liberação fazer forma manual sistema sap chamar abrir porque projeto juntamente leandro pagan aí pedir abrir frequência processo diário tempo médio gastar execução manual min sistema aplicativo envolver sap integração sap sim informe modulo qm reduzir erro sim economizar tempo sim aumentar conformidade sim outro não benefício esperar liberar material ter histórico serial liberado restrição regra específico preciso ter histórico serial cond liberar hora data liberação possível login liberar acesso necessário relatorio log liberação quarentena;Melhorias;log liberação quarentena topdesk departamento outro informe departamento dcq urgência alto descrição processo atual liberação fazer forma manual chamar abrir porque projeto juntamente pedir abrir frequência processo diário tempo médio gastar execução manual min aplicativo envolver integração sim informe modulo reduzir erro sim economizar tempo sim aumentar conformidade sim outro benefício esperar liberar material ter histórico serial liberado restrição regra específico preciso ter histórico serial cond liberar hora data liberação possível login liberar necessário relatorio log liberação quarentena
registro solicitação fazer via teams solicitar apoio apontar item seguinte ordem criar ambiente t sap evap cond ac;Avaliação_Técnica;registro fazer via teams solicitar apoio apontar item seguinte ordem criar ambiente
liberar inspetor aprovar lote qualidade coletor novo inspetor autodu;Melhorias;liberar inspetor aprovar lote qualidade coletor novo inspetor autodu
desbloquear usuario adolfocs ser bloquear;Corretiva;desbloquear usuario adolfocs bloquear
